Film	Race	total_words
The Fellowship Of The Ring	Orc	27
The Fellowship Of The Ring	Dwarf	419
The Fellowship Of The Ring	Elf	2185
The Fellowship Of The Ring	Wizard	2847
The Fellowship Of The Ring	Hobbit	3549
The Fellowship Of The Ring	Man	1893
The Fellowship Of The Ring	102	NA
The Fellowship Of The Ring	12	NA
The Fellowship Of The Ring	15	NA
The Fellowship Of The Ring	34	NA
The Fellowship Of The Ring	50	NA
The Fellowship Of The Ring	59	NA
The Two Towers	Orc	230
The Two Towers	Dwarf	521
The Two Towers	Elf	844
The Two Towers	Wizard	1273
The Two Towers	Hobbit	2265
The Two Towers	Man	3948
The Two Towers	12	NA
The Two Towers	16	NA
The Two Towers	186	NA
The Two Towers	22	NA
The Two Towers	4	NA
The Return Of The King	Orc	466
The Return Of The King	Dwarf	313
The Return Of The King	Elf	693
The Return Of The King	Wizard	1807
The Return Of The King	Hobbit	2675
The Return Of The King	Man	2727
